ID;Language;LongDescription;Name;ProductID;ShortDescription
700000000;EN;"Notebook Basic 15 with 2,80 GHz quad core, 15"" LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro";Notebook Basic 15;1624796;Optimum Hi-Resolution max. 2016 x 1512 @ 85Hz, Dot Pitch: 0.24mm
700000001;EN;"Notebook Basic 17 with 2,80 GHz quad core, 17"" LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro";Notebook Basic 17;1624797;64 GB Digital Assistant with high-resolution color screen and synthesized voice output
700000002;EN;"Notebook Basic 18 with 2,80 GHz quad core, 18"" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro";Notebook Basic 18;1624798;Ergonomic USB Keyboard for Desktop, Plug
700000003;EN;"Notebook Basic 19 with 2,80 GHz quad core, 19"" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro";Notebook Basic 19;1624799;Corded Keyboard with special keys for Internet Usability, USB
700000004;EN;Digital Organizer with State-of-the-Art Storage Encryption;ITelO Vault;1624800;2,8 Ghz dual core, 4 GB DDR3 SDRAM, 1000 GB Hard Disc, Graphic Card: Gladiator MX, Windows 8
700000005;EN;"Notebook Professional 15 with 2,80 GHz quad core, 15"" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro";Notebook Professional 15;1624801;10.5-inch Multitouch HD Screen (1280 x 800), 16GB Internal Memory, Wireless N Wi-Fi, Bluetooth, GPS Enabled, 1GHz Dual-Core Processor
700000006;EN;"Notebook Professional 17 with 2,80 GHz quad core, 17"" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro";Notebook Professional 17;1624802;"Notebook Basic 19 with 2,80 GHz quad core, 19"" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro"
700000007;EN;Digital Organizer with State-of-the-Art Encryption for Storage and Network Communications;ITelO Vault Net;1624803;10.1-inch Multitouch HD Screen (1280 x 800), 16GB Internal Memory, Wireless N Wi-Fi, Bluetooth, GPS Enabled, 1GHz Dual-Core Processor
700000008;EN;Digital Organizer with State-of-the-Art Encryption for Storage and Secure Stellite Link;ITelO Vault SAT;1624804;Digital Organizer with State-of-the-Art Encryption for Storage and Secure Stellite Link
700000009;EN;32 GB Digital Assistant with high-resolution color screen;Comfort Easy;1624805;Notebook with 2,80 GHz quad core, 4 GB DDR3 SDRAM, 1000 GB Hard Disc, Windows 8
